Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1748122,2019-10-07,2019-10-07,,"Moonrise Kingdom","Moonrise Kingdom",https://www.imdb.com/title/tt1748122/,Movie,7.8,94,2012,"Adventure, Comedy, Drama, Family, Fantasy, Romance",368239,2012-06-29,"Wes Anderson"
2,tt0817177,2019-10-07,2019-10-07,,"Flipped","Flipped",https://www.imdb.com/title/tt0817177/,Movie,7.7,90,2010,"Comedy, Drama, Romance",98379,2010-09-10,"Rob Reiner"
3,tt0412922,2019-10-07,2019-10-07,,"Little Manhattan","Little Manhattan",https://www.imdb.com/title/tt0412922/,Movie,7.4,90,2005,"Comedy, Family, Romance",24888,2006-01-05,"Mark Levin"
4,tt0804497,2019-10-07,2019-10-07,,"It's Kind of a Funny Story","It's Kind of a Funny Story",https://www.imdb.com/title/tt0804497/,Movie,7.1,101,2010,"Comedy, Drama, Romance",148949,2010-10-08,"Anna Boden, Ryan Fleck"
5,tt1022603,2019-10-07,2019-10-07,,"500 Days of Summer","(500) Days of Summer",https://www.imdb.com/title/tt1022603/,Movie,7.7,95,2009,"Comedy, Drama, Romance",564860,2009-08-07,"Marc Webb"
6,tt0338013,2019-10-07,2019-10-07,,"Eternal Sunshine of the Spotless Mind","Eternal Sunshine of the Spotless Mind",https://www.imdb.com/title/tt0338013/,Movie,8.3,108,2004,"Drama, Romance, Sci-Fi",1087633,2004-03-19,"Michel Gondry"
7,tt1564367,2019-10-07,2019-10-07,,"Just Go with It","Just Go with It",https://www.imdb.com/title/tt1564367/,Movie,6.4,117,2011,"Comedy, Romance",268211,2011-02-11,"Dennis Dugan"
8,tt2582496,2019-10-07,2019-10-07,,"Me and Earl and the Dying Girl","Me and Earl and the Dying Girl",https://www.imdb.com/title/tt2582496/,Movie,7.7,105,2015,"Comedy, Drama",139431,2015-07-01,"Alfonso Gomez-Rejon"
9,tt1045658,2019-10-07,2019-10-07,,"Silver Linings Playbook","Silver Linings Playbook",https://www.imdb.com/title/tt1045658/,Movie,7.7,122,2012,"Comedy, Drama, Romance",746687,2012-12-25,"David O. Russell"
10,tt3544112,2019-10-07,2019-10-07,,"Sing Street","Sing Street",https://www.imdb.com/title/tt3544112/,Movie,7.9,106,2016,"Comedy, Drama, Music, Romance",101950,2016-03-17,"John Carney"
11,tt1645080,2019-10-07,2019-10-07,,"The Art of Getting By","The Art of Getting By",https://www.imdb.com/title/tt1645080/,Movie,6.5,83,2011,"Drama, Romance",61000,2011-06-17,"Gavin Wiesen"
12,tt2582846,2019-10-07,2019-10-07,,"The Fault in Our Stars","The Fault in Our Stars",https://www.imdb.com/title/tt2582846/,Movie,7.7,126,2014,"Drama, Romance",404500,2014-06-06,"Josh Boone"
13,tt1659337,2019-10-07,2019-10-07,,"The Perks of Being a Wallflower","The Perks of Being a Wallflower",https://www.imdb.com/title/tt1659337/,Movie,7.9,103,2012,"Drama",552771,2012-10-12,"Stephen Chbosky"
14,tt1041829,2019-10-07,2019-10-07,,"The Proposal","The Proposal",https://www.imdb.com/title/tt1041829/,Movie,6.8,108,2009,"Comedy, Drama, Romance",365448,2009-06-19,"Anne Fletcher"
15,tt1001508,2019-10-07,2019-10-07,,"He's Just Not That Into You","He's Just Not That Into You",https://www.imdb.com/title/tt1001508/,Movie,6.4,129,2009,"Comedy, Drama, Romance",183495,2009-02-06,"Ken Kwapis"
16,tt1570728,2019-10-07,2019-10-07,,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",https://www.imdb.com/title/tt1570728/,Movie,7.4,118,2011,"Comedy, Drama, Romance",570800,2011-07-29,"Glenn Ficarra, John Requa"
17,tt1282140,2019-10-07,2019-10-07,,"Easy A","Easy A",https://www.imdb.com/title/tt1282140/,Movie,7.0,92,2010,"Comedy, Drama, Romance",421510,2010-09-17,"Will Gluck"
18,tt1411238,2019-10-07,2019-10-07,,"No Strings Attached","No Strings Attached",https://www.imdb.com/title/tt1411238/,Movie,6.2,108,2011,"Comedy, Romance",245483,2011-01-21,"Ivan Reitman"
19,tt0281358,2019-10-07,2019-10-07,,"A Walk to Remember","A Walk to Remember",https://www.imdb.com/title/tt0281358/,Movie,7.3,101,2002,"Drama, Romance",222894,2002-01-25,"Adam Shankman"
20,tt2674426,2019-10-07,2019-10-07,,"Me Before You","Me Before You",https://www.imdb.com/title/tt2674426/,Movie,7.4,110,2016,"Drama, Romance",292151,2016-06-03,"Thea Sharrock"
21,tt0866439,2020-01-04,2020-01-04,,"Made of Honor","Made of Honor",https://www.imdb.com/title/tt0866439/,Movie,5.8,101,2008,"Comedy, Romance",76434,2008-05-02,"Paul Weiland"
22,tt1306980,2020-01-04,2020-01-04,,"50/50","50/50",https://www.imdb.com/title/tt1306980/,Movie,7.6,100,2011,"Comedy, Drama, Romance",344321,2011-09-30,"Jonathan Levine"
23,tt0125439,2020-01-04,2020-01-04,,"Notting Hill","Notting Hill",https://www.imdb.com/title/tt0125439/,Movie,7.2,124,1999,"Comedy, Drama, Romance",346462,1999-05-28,"Roger Michell"
24,tt0821640,2020-03-15,2020-03-15,,"Ghosts of Girlfriends Past","Ghosts of Girlfriends Past",https://www.imdb.com/title/tt0821640/,Movie,5.8,100,2009,"Comedy, Fantasy, Romance",95073,2009-05-01,"Mark Waters"
25,tt0314331,2020-05-25,2020-05-25,,"Love Actually","Love Actually",https://www.imdb.com/title/tt0314331/,Movie,7.6,135,2003,"Comedy, Drama, Romance",534331,2003-11-14,"Richard Curtis"
26,tt1605783,2020-05-25,2020-05-25,,"Midnight in Paris","Midnight in Paris",https://www.imdb.com/title/tt1605783/,Movie,7.6,94,2011,"Comedy, Fantasy, Romance",452310,2011-06-10,"Woody Allen"
27,tt0112471,2020-05-30,2020-05-30,,"Before Sunrise","Before Sunrise",https://www.imdb.com/title/tt0112471/,Movie,8.1,101,1995,"Drama, Romance",343695,1995-01-27,"Richard Linklater"
28,tt0420223,2020-06-12,2020-06-12,,"Stranger Than Fiction","Stranger Than Fiction",https://www.imdb.com/title/tt0420223/,Movie,7.5,113,2006,"Comedy, Drama, Fantasy, Romance",237340,2006-11-10,"Marc Forster"
