Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0478311,2015-11-29,2015-11-29,,"Knocked Up","Knocked Up",https://www.imdb.com/title/tt0478311/,Movie,6.9,129,2007,"Comedy, Romance",386786,2007-06-01,"Judd Apatow"
2,tt0454945,2015-11-29,2015-11-29,,"She's the Man","She's the Man",https://www.imdb.com/title/tt0454945/,Movie,6.4,105,2006,"Comedy, Romance, Sport",177666,2006-03-17,"Andy Fickman"
3,tt0314331,2014-05-01,2014-05-01,,"Love Actually","Love Actually",https://www.imdb.com/title/tt0314331/,Movie,7.6,135,2003,"Comedy, Drama, Romance",534331,2003-11-14,"Richard Curtis"
4,tt0343660,2014-05-01,2014-05-01,,"50 First Dates","50 First Dates",https://www.imdb.com/title/tt0343660/,Movie,6.8,99,2004,"Comedy, Drama, Romance",386081,2004-02-13,"Peter Segal"
5,tt1041829,2014-05-01,2015-11-29,,"The Proposal","The Proposal",https://www.imdb.com/title/tt1041829/,Movie,6.8,108,2009,"Comedy, Drama, Romance",365448,2009-06-19,"Anne Fletcher"
6,tt0128853,2014-05-01,2014-05-01,,"You've Got Mail","You've Got Mail",https://www.imdb.com/title/tt0128853/,Movie,6.7,119,1998,"Comedy, Drama, Romance",231384,1998-12-18,"Nora Ephron"
7,tt0251127,2014-05-01,2014-05-01,,"How to Lose a Guy in 10 Days","How to Lose a Guy in 10 Days",https://www.imdb.com/title/tt0251127/,Movie,6.5,116,2003,"Comedy, Romance",274117,2003-02-07,"Donald Petrie"
8,tt1142988,2014-05-01,2014-05-01,,"The Ugly Truth","The Ugly Truth",https://www.imdb.com/title/tt1142988/,Movie,6.4,96,2009,"Comedy, Romance",231736,2009-07-24,"Robert Luketic"
9,tt0108160,2014-05-01,2014-05-01,,"Sleepless in Seattle","Sleepless in Seattle",https://www.imdb.com/title/tt0108160/,Movie,6.8,105,1993,"Comedy, Drama, Romance",192427,1993-06-25,"Nora Ephron"
10,tt0125439,2014-05-01,2014-05-01,,"Notting Hill","Notting Hill",https://www.imdb.com/title/tt0125439/,Movie,7.2,124,1999,"Comedy, Drama, Romance",346462,1999-05-28,"Roger Michell"
11,tt1632708,2014-05-01,2014-07-06,,"Friends with Benefits","Friends with Benefits",https://www.imdb.com/title/tt1632708/,Movie,6.5,109,2011,"Comedy, Romance",397738,2011-07-22,"Will Gluck"
12,tt0100405,2014-05-01,2014-05-01,,"Pretty Woman","Pretty Woman",https://www.imdb.com/title/tt0100405/,Movie,7.1,119,1990,"Comedy, Romance",368753,1990-03-23,"Garry Marshall"
13,tt1001508,2014-05-01,2014-05-01,,"He's Just Not That Into You","He's Just Not That Into You",https://www.imdb.com/title/tt1001508/,Movie,6.4,129,2009,"Comedy, Drama, Romance",183495,2009-02-06,"Ken Kwapis"
14,tt1185416,2014-05-01,2014-05-01,,"When in Rome","When in Rome",https://www.imdb.com/title/tt1185416/,Movie,5.5,91,2010,"Comedy, Romance",64881,2010-01-29,"Mark Steven Johnson"
15,tt0800039,2014-05-01,2014-05-01,,"Forgetting Sarah Marshall","Forgetting Sarah Marshall",https://www.imdb.com/title/tt0800039/,Movie,7.1,111,2008,"Comedy, Drama, Romance",304320,2008-04-18,"Nicholas Stoller"
16,tt0098635,2014-05-01,2014-05-01,,"When Harry Met Sally...","When Harry Met Sally...",https://www.imdb.com/title/tt0098635/,Movie,7.7,95,1989,"Comedy, Drama, Romance",245081,1989-07-21,"Rob Reiner"
17,tt0147800,2014-05-01,2014-05-01,,"10 Things I Hate About You","10 Things I Hate About You",https://www.imdb.com/title/tt0147800/,Movie,7.3,97,1999,"Comedy, Drama, Romance",392453,1999-03-31,"Gil Junger"
18,tt0988595,2014-05-01,2014-05-01,,"27 Dresses","27 Dresses",https://www.imdb.com/title/tt0988595/,Movie,6.1,111,2008,"Comedy, Romance",176487,2008-01-18,"Anne Fletcher"
19,tt0457939,2014-05-01,2014-05-01,,"The Holiday","The Holiday",https://www.imdb.com/title/tt0457939/,Movie,6.9,136,2006,"Comedy, Romance",325882,2006-12-08,"Nancy Meyers"
20,tt0386588,2014-05-01,2014-08-08,,"Hitch","Hitch",https://www.imdb.com/title/tt0386588/,Movie,6.6,118,2005,"Comedy, Romance",337148,2005-02-11,"Andy Tennant"
21,tt1022603,2014-05-01,2014-05-01,,"500 Days of Summer","(500) Days of Summer",https://www.imdb.com/title/tt1022603/,Movie,7.7,95,2009,"Comedy, Drama, Romance",564860,2009-08-07,"Marc Webb"
22,tt1564367,2014-05-01,2014-05-01,,"Just Go with It","Just Go with It",https://www.imdb.com/title/tt1564367/,Movie,6.4,117,2011,"Comedy, Romance",268211,2011-02-11,"Dennis Dugan"
23,tt0405422,2014-05-01,2014-05-01,,"The 40-Year-Old Virgin","The 40 Year Old Virgin",https://www.imdb.com/title/tt0405422/,Movie,7.1,116,2005,"Comedy, Romance",471695,2005-08-19,"Judd Apatow"
24,tt0815236,2014-05-01,2014-05-01,,"She's Out of My League","She's Out of My League",https://www.imdb.com/title/tt0815236/,Movie,6.4,104,2010,"Comedy, Romance",145900,2010-03-12,"Jim Field Smith"
25,tt0832266,2014-05-01,2014-05-01,,"Definitely, Maybe","Definitely, Maybe",https://www.imdb.com/title/tt0832266/,Movie,7.1,112,2008,"Comedy, Drama, Romance",174128,2008-02-14,"Adam Brooks"
26,tt0305711,2014-05-01,2014-05-01,,"Just Married","Just Married",https://www.imdb.com/title/tt0305711/,Movie,5.5,95,2003,"Comedy, Romance",74795,2003-01-10,"Shawn Levy"
27,tt1216492,2014-05-01,2014-05-01,,"Leap Year","Leap Year",https://www.imdb.com/title/tt1216492/,Movie,6.4,100,2010,"Comedy, Romance",111291,2010-01-08,"Anand Tucker"
28,tt0481141,2014-05-01,2014-05-01,,"No Reservations","No Reservations",https://www.imdb.com/title/tt0481141/,Movie,6.3,104,2007,"Comedy, Drama, Romance",79466,2007-07-27,"Scott Hicks"
29,tt0758766,2014-05-01,2014-05-01,,"Music and Lyrics","Music and Lyrics",https://www.imdb.com/title/tt0758766/,Movie,6.5,104,2007,"Comedy, Music, Romance",107613,2007-02-14,"Marc Lawrence"
30,tt1195478,2014-05-01,2014-05-01,,"The Five-Year Engagement","The Five-Year Engagement",https://www.imdb.com/title/tt1195478/,Movie,6.2,124,2012,"Comedy, Drama, Romance",102900,2012-04-27,"Nicholas Stoller"
31,tt1411238,2014-05-01,2014-05-01,,"No Strings Attached","No Strings Attached",https://www.imdb.com/title/tt1411238/,Movie,6.2,108,2011,"Comedy, Romance",245483,2011-01-21,"Ivan Reitman"
32,tt0452594,2014-05-01,2014-05-01,,"The Break-Up","The Break-Up",https://www.imdb.com/title/tt0452594/,Movie,5.8,106,2006,"Comedy, Drama, Romance",139640,2006-06-02,"Peyton Reed"
33,tt1570728,2014-05-01,2014-05-01,,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",https://www.imdb.com/title/tt1570728/,Movie,7.4,118,2011,"Comedy, Drama, Romance",570800,2011-07-29,"Glenn Ficarra, John Requa"
34,tt0396269,2014-05-01,2014-05-01,,"Wedding Crashers","Wedding Crashers",https://www.imdb.com/title/tt0396269/,Movie,7.0,119,2005,"Comedy, Romance",378104,2005-07-15,"David Dobkin"
35,tt0770703,2015-07-17,2015-07-17,,"What's Your Number?","What's Your Number?",https://www.imdb.com/title/tt0770703/,Movie,6.0,106,2011,"Comedy, Romance",88322,2011-09-30,"Mark Mylod"
36,tt0889573,2014-05-01,2014-05-01,,"The Switch","The Switch",https://www.imdb.com/title/tt0889573/,Movie,6.1,101,2010,"Comedy, Drama, Romance",112860,2010-08-20,"Josh Gordon, Will Speck"
37,tt0091790,2014-05-01,2014-05-01,,"Pretty in Pink","Pretty in Pink",https://www.imdb.com/title/tt0091790/,Movie,6.7,97,1986,"Comedy, Drama, Romance",89733,1986-02-28,"Howard Deutch"
38,tt1055292,2014-05-04,2014-05-04,,"Life as We Know It","Life as We Know It",https://www.imdb.com/title/tt1055292/,Movie,6.5,114,2010,"Comedy, Drama, Romance",139616,2010-10-08,"Greg Berlanti"
