Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0100405,2013-06-17,2013-06-17,,"Pretty Woman","Pretty Woman",https://www.imdb.com/title/tt0100405/,Movie,7.1,119,1990,"Comedy, Romance",368753,1990-03-23,"Garry Marshall"
2,tt0109831,2013-06-17,2013-06-17,,"Four Weddings and a Funeral","Four Weddings and a Funeral",https://www.imdb.com/title/tt0109831/,Movie,7.1,117,1994,"Comedy, Drama, Romance",167880,1994-04-15,"Mike Newell"
3,tt0114924,2013-06-17,2013-06-17,,"While You Were Sleeping","While You Were Sleeping",https://www.imdb.com/title/tt0114924/,Movie,6.8,103,1995,"Comedy, Drama, Romance",115116,1995-04-21,"Jon Turteltaub"
4,tt0098635,2013-06-17,2013-06-17,,"When Harry Met Sally...","When Harry Met Sally...",https://www.imdb.com/title/tt0098635/,Movie,7.7,95,1989,"Comedy, Drama, Romance",245081,1989-07-21,"Rob Reiner"
5,tt0314331,2013-06-17,2013-06-17,,"Love Actually","Love Actually",https://www.imdb.com/title/tt0314331/,Movie,7.6,135,2003,"Comedy, Drama, Romance",534331,2003-11-14,"Richard Curtis"
6,tt0108160,2013-06-17,2013-06-17,,"Sleepless in Seattle","Sleepless in Seattle",https://www.imdb.com/title/tt0108160/,Movie,6.8,105,1993,"Comedy, Drama, Romance",192427,1993-06-25,"Nora Ephron"
7,tt0128853,2013-06-17,2013-06-17,,"You've Got Mail","You've Got Mail",https://www.imdb.com/title/tt0128853/,Movie,6.7,119,1998,"Comedy, Drama, Romance",231384,1998-12-18,"Nora Ephron"
8,tt0125439,2013-06-17,2013-06-17,,"Notting Hill","Notting Hill",https://www.imdb.com/title/tt0125439/,Movie,7.2,124,1999,"Comedy, Drama, Romance",346462,1999-05-28,"Roger Michell"
9,tt0119738,2013-06-17,2013-06-17,,"My Best Friend's Wedding","My Best Friend's Wedding",https://www.imdb.com/title/tt0119738/,Movie,6.3,105,1997,"Comedy, Drama, Romance",156881,1997-06-20,"P.J. Hogan"
10,tt0087233,2013-06-17,2013-06-17,,"Falling in Love","Falling in Love",https://www.imdb.com/title/tt0087233/,Movie,6.5,106,1984,"Drama, Romance",15769,1984-11-21,"Ulu Grosbard"
11,tt1041829,2013-06-17,2013-06-17,,"The Proposal","The Proposal",https://www.imdb.com/title/tt1041829/,Movie,6.8,108,2009,"Comedy, Drama, Romance",365448,2009-06-19,"Anne Fletcher"
12,tt0259446,2013-06-17,2013-06-17,,"My Big Fat Greek Wedding","My Big Fat Greek Wedding",https://www.imdb.com/title/tt0259446/,Movie,6.6,95,2002,"Comedy, Drama, Romance",145700,2002-08-02,"Joel Zwick"
13,tt0116191,2013-06-17,2013-06-17,,"Emma","Emma",https://www.imdb.com/title/tt0116191/,Movie,6.6,120,1996,"Comedy, Drama, Romance",42034,1996-08-30,"Douglas McGrath"
14,tt0120148,2013-06-17,2013-06-17,,"Sliding Doors","Sliding Doors",https://www.imdb.com/title/tt0120148/,Movie,6.7,99,1998,"Comedy, Drama, Fantasy, Romance",71937,1998-05-01,"Peter Howitt"
15,tt0207201,2013-06-17,2013-06-17,,"What Women Want","What Women Want",https://www.imdb.com/title/tt0207201/,Movie,6.4,127,2000,"Comedy, Fantasy, Romance",224050,2000-12-15,"Nancy Meyers"
16,tt1022603,2013-06-17,2013-06-17,,"500 Days of Summer","(500) Days of Summer",https://www.imdb.com/title/tt1022603/,Movie,7.7,95,2009,"Comedy, Drama, Romance",564860,2009-08-07,"Marc Webb"
17,tt0240890,2013-06-17,2013-06-17,,"Serendipity","Serendipity",https://www.imdb.com/title/tt0240890/,Movie,6.8,90,2001,"Comedy, Romance",122158,2001-10-05,"Peter Chelsom"
18,tt0151738,2013-06-17,2013-06-17,,"Never Been Kissed","Never Been Kissed",https://www.imdb.com/title/tt0151738/,Movie,6.0,107,1999,"Comedy, Drama, Romance",98311,1999-04-09,"Raja Gosnell"
