Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1305583,2011-02-21,2011-02-21,,"Our Family Wedding","Our Family Wedding",https://www.imdb.com/title/tt1305583/,Movie,5.1,103,2010,"Comedy, Romance",7525,2010-03-12,"Rick Famuyiwa"
2,tt0817230,2011-02-21,2011-02-21,,"Valentine's Day","Valentine's Day",https://www.imdb.com/title/tt0817230/,Movie,5.7,125,2010,"Comedy, Romance",125854,2010-02-12,"Garry Marshall"
3,tt0240890,2011-02-21,2011-02-21,,"Serendipity","Serendipity",https://www.imdb.com/title/tt0240890/,Movie,6.8,90,2001,"Comedy, Romance",122158,2001-10-05,"Peter Chelsom"
4,tt1001508,2011-02-21,2011-02-21,,"He's Just Not That Into You","He's Just Not That Into You",https://www.imdb.com/title/tt1001508/,Movie,6.4,129,2009,"Comedy, Drama, Romance",183495,2009-02-06,"Ken Kwapis"
5,tt1038919,2011-02-21,2011-02-21,,"The Bounty Hunter","The Bounty Hunter",https://www.imdb.com/title/tt1038919/,Movie,5.5,110,2010,"Action, Comedy, Romance",135028,2010-03-19,"Andy Tennant"
6,tt0120888,2011-02-21,2011-02-21,,"The Wedding Singer","The Wedding Singer",https://www.imdb.com/title/tt0120888/,Movie,6.9,97,1998,"Comedy, Music, Romance",163747,1998-02-13,"Frank Coraci"
7,tt0098635,2011-02-21,2011-02-21,,"When Harry Met Sally...","When Harry Met Sally...",https://www.imdb.com/title/tt0098635/,Movie,7.7,95,1989,"Comedy, Drama, Romance",245081,1989-07-21,"Rob Reiner"
8,tt0100405,2011-02-21,2011-02-21,,"Pretty Woman","Pretty Woman",https://www.imdb.com/title/tt0100405/,Movie,7.1,119,1990,"Comedy, Romance",368753,1990-03-23,"Garry Marshall"
9,tt0209475,2011-02-21,2011-02-21,,"The Wedding Planner","The Wedding Planner",https://www.imdb.com/title/tt0209475/,Movie,5.3,103,2001,"Comedy, Romance",87394,2001-01-26,"Adam Shankman"
10,tt0160862,2011-02-21,2011-02-21,,"She's All That","She's All That",https://www.imdb.com/title/tt0160862/,Movie,5.9,95,1999,"Comedy, Romance",104664,1999-01-29,"Robert Iscove"
11,tt0151738,2011-02-21,2011-02-21,,"Never Been Kissed","Never Been Kissed",https://www.imdb.com/title/tt0151738/,Movie,6.0,107,1999,"Comedy, Drama, Romance",98311,1999-04-09,"Raja Gosnell"
12,tt0147800,2011-02-21,2011-02-21,,"10 Things I Hate About You","10 Things I Hate About You",https://www.imdb.com/title/tt0147800/,Movie,7.3,97,1999,"Comedy, Drama, Romance",392453,1999-03-31,"Gil Junger"
13,tt0758766,2011-02-21,2011-02-21,,"Music and Lyrics","Music and Lyrics",https://www.imdb.com/title/tt0758766/,Movie,6.5,104,2007,"Comedy, Music, Romance",107613,2007-02-14,"Marc Lawrence"
14,tt1185416,2011-02-21,2011-02-21,,"When in Rome","When in Rome",https://www.imdb.com/title/tt1185416/,Movie,5.5,91,2010,"Comedy, Romance",64881,2010-01-29,"Mark Steven Johnson"
15,tt1093908,2011-02-21,2011-02-21,,"Confessions of a Shopaholic","Confessions of a Shopaholic",https://www.imdb.com/title/tt1093908/,Movie,5.8,104,2009,"Comedy, Romance",83604,2009-02-13,"P.J. Hogan"
16,tt0478311,2011-02-21,2011-02-21,,"Knocked Up","Knocked Up",https://www.imdb.com/title/tt0478311/,Movie,6.9,129,2007,"Comedy, Romance",386786,2007-06-01,"Judd Apatow"
17,tt1411238,2011-02-21,2011-02-21,,"No Strings Attached","No Strings Attached",https://www.imdb.com/title/tt1411238/,Movie,6.2,108,2011,"Comedy, Romance",245483,2011-01-21,"Ivan Reitman"
18,tt1041829,2011-02-21,2011-02-21,,"The Proposal","The Proposal",https://www.imdb.com/title/tt1041829/,Movie,6.8,108,2009,"Comedy, Drama, Romance",365448,2009-06-19,"Anne Fletcher"
19,tt1000774,2011-02-21,2011-02-21,,"Sex and the City","Sex and the City",https://www.imdb.com/title/tt1000774/,Movie,5.7,145,2008,"Comedy, Drama, Romance",128085,2008-05-30,"Michael Patrick King"
20,tt0256415,2011-02-21,2011-02-21,,"Sweet Home Alabama","Sweet Home Alabama",https://www.imdb.com/title/tt0256415/,Movie,6.2,108,2002,"Comedy, Romance",124678,2002-09-27,"Andy Tennant"
21,tt0251127,2011-02-21,2011-02-21,,"How to Lose a Guy in 10 Days","How to Lose a Guy in 10 Days",https://www.imdb.com/title/tt0251127/,Movie,6.5,116,2003,"Comedy, Romance",274117,2003-02-07,"Donald Petrie"
22,tt0452594,2011-02-21,2011-02-21,,"The Break-Up","The Break-Up",https://www.imdb.com/title/tt0452594/,Movie,5.8,106,2006,"Comedy, Drama, Romance",139640,2006-06-02,"Peyton Reed"
