Title,Year
(500) Days of Summer,2009
10 Things I Hate About You,1999
13 Going On 30,2004
17 Again,2009
27 Dresses,2008
50 First Dates,2004
A Christmas Prince,2017
A Christmas Prince: The Royal Wedding,2018
A Christmas Prince: The Royal Baby,2019
A Cinderella Story,2004
A Perfect Pairing,2022
About Fate,2022
About Last Night,1986
About Time,2013
Alex & Emma,2003
Aloha,2015
Along Came Polly,2004
Always Be My Maybe,2019
Anyone But You,2023
Because I Said So,2007
Before We Go,2014
Book Club,2018
Bridget Jones's Baby,2016
Bridget Jones's Diary ,2001
,
Bridget Jones: The Edge of Reason,2004
Bros,2022
Catch and Release,2007
Christmas With the Campbells,2022
Christmas With You,2022
Clueless,1995
Confessions of a Shopaholic,2009
Crazy Rich Asians ,2018
Crazy; Stupid; Love,2011
Dating & New York,2021
"Definitely, Maybe",2008
Dirty Dancing,1987
Down With Love,2003
Easy A,2010
Elemental,2023
Enchanted,2007
Exmas,2023
Failure to Launch,2006
Falling for Christmas,2022
Father of the Bride,1991
Father of the Bride,2022
Fever Pitch,2005
Fire Island,2022
Fools Rush In,1997
Forgetting Sarah Marshall,2008
Four Weddings and a Funeral,1994
Friends with Benefits ,2011
Ghosted,2023
Ghosts of Girlsfriends Past,2009
Going the Distance,2010
Happiest Season,2020
"Hello, Goodbye, And Everything In Between",2022
He's Just Not That Into You,2009
Hitch,2005
Holidate,2020
Home Again,2017
How Do You Know,2010
How To Be Single,2016
How to Lose a Guy In 10 Days,2003
I Could Never Be Your Woman,2007
I Love You Man,2009
I Want You Back,2022
Isn't It Romantic,2019
It's Complicated,2009
Jerry Maguire,1996
Just Friends,2005
Just Go With It,2011
Just Like Heaven,2005
Just My Luck,2006
Knocked Up,2007
Leap Year,2010
Let It Snow,2019
Life as We Know It,2010
Little Italy,2018
Love Actually,2003
Love Again,2023
Love at First Sight,2023
Love & Basketball,2000
Love & Gelato,2022
Love Hard,2021
Love in the Villa,2022
"Love, Rosie",2014
Made of Honor,2008
Maid in Manhattan,2002
Mamma Mia!,2008
Mamma Mia! Here We Go Again,2018
Man Up,2015
Marry Me,2022
Meet Cute,2022
Music & Lyrics,2007
Must Love Dogs,2005
My Best Friend's Wedding,1997
My Big Fat Greek Wedding,2002
Never Been Kissed,1999
No Strings Attached,2010
Notting Hill,1999
One Day,2011
One Fine Day,1996
Only You,1994
Palm Springs,2020
Perfect Find,2023
Plus One,2019
Puppy Love,2023
Pretty Woman,1990
Princess Diaries,2001
Princess Diaries 2,2004
Punch-Drunk Love,2002
"Red, White & Royal Blue",2023
Rumor Has It...,2005
Runaway Bride,1999
Rye Lane,2023
Say Anything,1989
Serendipity,2001
Set It Up,2018
She's All That,1999
She's The Man,2006
Shotgun Wedding,2022
Silver Linings Playbook,2012
Single All the Way,2021
Sleeping with Other People,2015
Sleepless in Seattle,1993
Someone Great ,2019
Something Borrowed,2011
Something's Gotta Give,2003
Summer Catch,2001
Sweet Home Alabama,2002
Sydney White,2007
Taylor Swift x Travis Kelce: On The Map,2023
The American President,1995
The Big Wedding,2013
The Broken Hearts Gallery,2020
The Duff,2015
The Family Stone,2005
The Five-Year Engagement,2012
The Hating Game,2021
The Holiday,2006
The Lost City,2022
The Lovebirds,2020
The Map of Tiny Perfect Things,2021
The Nanny Diaries,2007
The Noel Diary,2022
The Other Woman,2014
The Other Zoey,2023
The Princess Switch,2018
The Princess Switch: Switched Again,2020
The Princess Switch: Romancing the Star,2021
The Proposal,2009
The Valet,2022
The Wedding Date,2005
The Wedding Planner,2005
The Wedding Singer,1998
This Is 40,2012
This Means War,2012
Ticket to Paradise,2022
To All the Boys I've Loved Before,2018
"To All the Boys: Always and Forever, Lara Jean",2021
To All the Boys: P.S. I Still Love You,2020
Trainwreck,2015
Two Night Stand,2014
Two Weeks Notice,2002
Valentine's Day,2010
Wedding Season,2022
What A Girl Wants,2003
What Happens in Vegas,2008
What Happens Later,2023
What If,2013
What's Love Got To Do With It?,2023
What Men Want,2019
What's Your Number?,2011
When Harry Met Sally,1989
When In Rome,2010
Which Brings Me To You,2023
While You Were Sleeping,1995
Wimbledon,2004
Working Girl,1988
You Again,2010
You've Got Mail,1998
