Watched,Title,Year,Holy Grail aka Jas' Top 8 Favorites,Top 22 to Prioritize Watching,Old School Classic,Often Forgotten,Rom-Com Extra Com,More Dram than Com,Can Watch Repeatedly,A Good Cry,Fall / Cozy Vibes,Watchable But Frustrating,A Great Musical Number,Cheesy Goodness,Avengers Assemble!,You Go Girl!,It's Lit(erature),Oh To Be Young & In Love,Coastal Grandmother,Date Night,Wed-Com,Holidate,Watch or Don't... But Don't Prioritize,Where to Stream (Not Updated)
FALSE,(500) Days of Summer,2009,,,,,,,,X,,X,X,,,,,,,,,,,"Hulu, Prime Video"
FALSE,10 Things I Hate About You,1999,,X,X,,X,,X,,,,X,,,X,X,X,,X,,,,Disney+
FALSE,13 Going On 30,2004,X,X,,,X,,X,,,,X,X,X,,,,,,,,,HBO Max
FALSE,17 Again,2009,,,,,X,,,,,,,X,,,,X,,,,,,"Hulu (Live), TBS App"
FALSE,27 Dresses,2008,X,X,,,X,,X,,,,X,,,,,,,,X,,,HBO Max
FALSE,50 First Dates,2004,,,,,X,,X,,,,X,,,,,,,X,,,,"Hulu (Live), ABC"
FALSE,A Christmas Prince,2017,,,,,,,,,,,,X,,,,,,,,X,,Netflix
FALSE,A Christmas Prince: The Royal Wedding,2018,,,,,,,,,,,,X,,,,,,,X,X,,Netflix
FALSE,A Christmas Prince: The Royal Baby,2019,,,,,,,,,,,,X,,,,,,,,X,,Netflix
FALSE,A Cinderella Story,2004,,,,,,,X,,,,,X,,X,,X,,,,,,HBO Max
FALSE,A Perfect Pairing,2022,,,,,,,,,,,X,X,,,,,,,,,,Netflix
FALSE,About Fate,2022,,,,,,X,,,X,,,X,,,,,,,X,,,Prime Video
FALSE,About Last Night,1986,,,X,X,,,,,,,,,,,,,,,,,,Hulu
FALSE,About Time,2013,,,,,,,,X,,,,,,,,,,,,,,Netflix
FALSE,Alex & Emma,2003,,,,,,,,,,,,,,,,,,,,,X,Hulu
FALSE,Aloha,2015,,,,,,,,,,,,,,,,,,,,,X,Rent
FALSE,Along Came Polly,2004,,,,X,,,,,,,,,,,,,,,,,,Peacock
FALSE,Always Be My Maybe,2019,,X,,,X,,,,,,,,,X,,,,,,,,Netflix
FALSE,Anyone But You,2023,,,,,X,,X,,,,X,,,,X,,,,X,,,Theaters
FALSE,Because I Said So,2007,,,,X,,,,,,,,X,,,,,X,,,,,Starz
FALSE,Before We Go,2014,,,,,,X,,,,,,,X,,,,,,,,,Tubi
FALSE,Book Club,2018,,,,X,,,,,,,,,,,,,X,,,,,Hulu
FALSE,Bridget Jones's Baby,2016,,,,,X,,,,,,,X,,,X,,,,,,,HBO Max
FALSE,Bridget Jones's Diary ,2001,,,,,X,,,,,,X,X,,,,,,,,X,,"Hulu (Live), HBO Max"
,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,Bridget Jones: The Edge of Reason,2004,,,,,X,,,,,,,X,,,,,,,,,,HBO Max
FALSE,Bros,2022,,,,,X,,,,,,,,,,,,,,,,,Theaters
FALSE,Catch and Release,2007,,,,X,,X,,,,,,,,,,,,,,,,Starz
FALSE,Christmas With the Campbells,2022,,,,,X,,,,,,,,,,,,,X,,X,,AMC+
FALSE,Christmas With You,2022,,,,,,,,,,,,X,,,,,,,,X,,Netflix
FALSE,Clueless,1995,,,X,,X,,X,,,,,X,X,X,X,X,,,,,,HBO Max
FALSE,Confessions of a Shopaholic,2009,,,,X,X,,,,,,,X,,,,,,,,,,Disney+
FALSE,Crazy Rich Asians ,2018,X,X,,,,,X,X,,,,,,X,,,,,X,,,HBO Max
FALSE,Crazy; Stupid; Love,2011,X,X,,,X,,X,,,,,,,,,,,X,,,,HBO Max
FALSE,Dating & New York,2021,,,,X,,,,,X,,,X,,,,X,,,,,,"Showtime, Hulu (Showtime Extension), Prime Video (Showtime Extension)"
FALSE,"Definitely, Maybe",2008,,,,X,,,,,X,,,,,,,,,,,,,Peacock
FALSE,Dirty Dancing,1987,,,X,,,,,,,,,,,,,,,,,,,Hulu (Live)
FALSE,Down With Love,2003,,,,X,,,X,,,,,,,X,,,,,,,,HBO Max
FALSE,Easy A,2010,,,,,X,,X,,,,X,,,X,X,X,,,,,,Freeform
FALSE,Elemental,2023,,,,,,,,,,,,,,X,,,,,,,,Theaters
FALSE,Enchanted,2007,,,,,,,,,,,X,X,,,,,,,,,,Disney+
FALSE,Exmas,2023,,,,,X,,,,,,,X,,,,,,,,X,,Freevee
FALSE,Failure to Launch,2006,,,,X,,,,,,,,X,,,,,,,,,,"Showtime, Hulu (Showtime Extension), Prime Video (Showtime Extension)"
FALSE,Falling for Christmas,2022,,,,,X,,,,,,,X,,,,,,,,X,,Netflix
FALSE,Father of the Bride,1991,,,X,,,,,,,,,,,,,,,X,X,,,Hulu
FALSE,Father of the Bride,2022,,,,,X,,,,,,,,,,,,,X,X,,,HBO Max
FALSE,Fever Pitch,2005,,X,,X,,,,,,,,X,,,,,,X,,,,Starz
FALSE,Fire Island,2022,,,,,X,,X,,,,,X,,,,,,,,,,Hulu
FALSE,Fools Rush In,1997,,,X,X,X,,,,,,,,,,,,,,X,,,HBO Max
FALSE,Forgetting Sarah Marshall,2008,,,,,X,,X,,,,X,X,X,,,,,X,,,,IMDb TV
FALSE,Four Weddings and a Funeral,1994,,,X,,,,,,,,,,,,,,,X,X,,,HBO Max
FALSE,Friends with Benefits ,2011,,,,,X,,X,,,,X,X,,,,,,X,,,,"Hulu, Peacock"
FALSE,Ghosted,2023,,,,,,,,,,,,,X,,,,,,,,X,Apple TV+
FALSE,Ghosts of Girlsfriends Past,2009,,,,X,,,,,,,,X,,,,,,,,,,Netflix
FALSE,Going the Distance,2010,,,,X,,,,,,,,,,,,,,,,,,HBO Max
FALSE,Happiest Season,2020,,,,,X,,,,,X,,,,,,,,,,X,,Hulu
FALSE,"Hello, Goodbye, And Everything In Between",2022,,,,,,,,,,,,,,,,X,,,,,,Netflix
FALSE,He's Just Not That Into You,2009,,,,,X,,,,,,,X,X,,,,,,,,,Tubi TV
FALSE,Hitch,2005,,,,,,,,,,,,,,,,,,X,,,,"Hulu, Tubi"
FALSE,Holidate,2020,,,,,,,,,,,,X,,,,,,,,X,,Netflix
FALSE,Home Again,2017,,,,X,,,,,,,,,,,,,X,,,,,Netflix
FALSE,How Do You Know,2010,,,,X,,,,,,,,,X,X,,,,,,,,"Starz, Hulu (Starz)"
FALSE,How To Be Single,2016,,,,X,X,,,,,,,,,X,,,,,,,,Hulu
FALSE,How to Lose a Guy In 10 Days,2003,X,X,,,X,,,,,,X,,,,,,,X,,,,Peacock
FALSE,I Could Never Be Your Woman,2007,,,,X,X,,,,,,,X,X,,,,,X,,,,Tubi TV
FALSE,I Love You Man,2009,,,,X,X,,,,,,,,X,,,,,X,,,,Paramount+
FALSE,I Want You Back,2022,,X,,,,,,,,,,X,,,,,,,,,,Prime Video
FALSE,Isn't It Romantic,2019,,,,,X,,,,,,X,X,,X,,,,,,,,Hulu (Live)
FALSE,It's Complicated,2009,,,,X,,,,,,,,,,,,,X,,,,,Peacock
FALSE,Jerry Maguire,1996,,,X,,,,,,,,,X,,,,,,X,,,,Rent Only
FALSE,Just Friends,2005,,,,,X,,,,,,,X,,,,,,X,,X,,Tubi TV
FALSE,Just Go With It,2011,,,,X,X,,,,,,,X,,,,,,X,,,,Netflix
FALSE,Just Like Heaven,2005,,,,X,,,,,,,,,,,,,,,,,,Hulu
FALSE,Just My Luck,2006,,,,X,,,,,,,,,,,,,,,,,,Hulu
FALSE,Knocked Up,2007,,,,,X,,,,,,,,X,,,,,,,,,Hulu
FALSE,Leap Year,2010,,,,X,X,,,,,,,,,,,,,X,,,,Rent Only
FALSE,Let It Snow,2019,,,,,,,,,,,,X,,,,X,,,,X,,Netflix
FALSE,Life as We Know It,2010,,,,X,X,,,,,,,X,,,,,,,,,,TBS App
FALSE,Little Italy,2018,,,,,,,,,,,,X,,,,,,,,,,Prime Video
FALSE,Love Actually,2003,,,X,,,,,,,,X,X,,,,,,,,X,,Peacock
FALSE,Love Again,2023,,,,,,X,,,,,,,,,,,,,,,,Theaters
FALSE,Love at First Sight,2023,,,,,,,,,X,,,,,,,,,,,X,,Netflix
FALSE,Love & Basketball,2000,,,,X,,,,,,,,,,,,,,X,,,,Netflix
FALSE,Love & Gelato,2022,,,,,,,,,,,,,,,,X,,,,,X,Netflix
FALSE,Love Hard,2021,,,,,,,,,,,,,,,,,,,,X,,Netflix
FALSE,Love in the Villa,2022,,,,,,,,,,X,,X,,,,,,,,,,Netflix
FALSE,"Love, Rosie",2014,,,,X,,,,,,,,,,,,,,,,,,"Starz, Hulu (Starz)"
FALSE,Made of Honor,2008,,,,X,,,,,,,,X,,,,,,,X,,,"Prime Video, Hulu (Live)"
FALSE,Maid in Manhattan,2002,,,,,,,,,,,,,,,,,,,,,,"Hulu (Live), HBO Max"
FALSE,Mamma Mia!,2008,,,,,,,X,,,,X,,,X,,,X,,X,,,"Starz, Hulu (Starz)"
FALSE,Mamma Mia! Here We Go Again,2018,,,,,,,X,,,,X,,,,,,X,,,,,Rent Only
FALSE,Man Up,2015,,,,X,,,,,,,,,,,,,,X,,,,Starz
FALSE,Marry Me,2022,,,,,,,,,,,,X,,,,,,,,,,"Peacock, Theaters"
FALSE,Meet Cute,2022,,,,,,,,,,X,,,,,,,,X,,,,Peacock
FALSE,Music & Lyrics,2007,,,,X,,,X,,X,,X,X,,,,,,,,,,Rent Only
FALSE,Must Love Dogs,2005,,,,X,,,,,,,,X,,,,,,,,,,Tubi TV
FALSE,My Best Friend's Wedding,1997,,X,X,,,,,,,,X,,,,,,,,X,,,Pluto TV
FALSE,My Big Fat Greek Wedding,2002,,,X,,,,,,,,,,,,,,,,X,,,HBO Max
FALSE,Never Been Kissed,1999,,,X,,,,,,,,,X,,,,,,,,,,Disney+
FALSE,No Strings Attached,2010,,,,,,,,,,,,,,,,,,,,,,Paramount+
FALSE,Notting Hill,1999,,X,X,,,,,,,,,,,,,,,,,,,Rent Only
FALSE,One Day,2011,,,,X,,X,,X,,,,,,,,,,,,,,Prime Video
FALSE,One Fine Day,1996,,X,X,X,,,X,,X,,,,,,,,,,,,,Starz
FALSE,Only You,1994,,X,X,X,,,,,X,,,,X,,,,,,,,,Hulu
FALSE,Palm Springs,2020,,X,,X,X,,X,,,,,,,,,,,X,,,,Hulu
FALSE,Perfect Find,2023,,,,,,,,,,X,,,,,,,,,,,X,Netflix
FALSE,Plus One,2019,,,,X,,,,,,,,,,,,,,,X,,,Hulu
FALSE,Puppy Love,2023,,,,,,,,,,,,X,,,,,,,,,,Freevee
FALSE,Pretty Woman,1990,,X,X,,,,,,,,,,,X,,,,,,,,Rent Only
FALSE,Princess Diaries,2001,,,,,,,X,,,,,,,,,X,,,,,,Disney+
FALSE,Princess Diaries 2,2004,,,,,,,X,,,,X,X,,X,,X,,,X,,,Disney+
FALSE,Punch-Drunk Love,2002,,,,X,,X,,X,,,,,,,,,,,,,,PlutoTV
