Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0147800,2014-02-15,2014-02-15,,"10 Things I Hate About You","10 Things I Hate About You",https://www.imdb.com/title/tt0147800/,Movie,7.3,97,1999,"Comedy, Drama, Romance",392453,1999-03-31,"Gil Junger"
2,tt1715873,2014-02-15,2014-02-15,,"10 Years","10 Years",https://www.imdb.com/title/tt1715873/,Movie,6.1,100,2011,"Comedy, Drama, Romance",27378,2012-10-05,"Jamie Linden"
3,tt0337563,2014-02-15,2014-02-15,,"13 Going on 30","13 Going on 30",https://www.imdb.com/title/tt0337563/,Movie,6.3,98,2004,"Comedy, Fantasy, Romance",220424,2004-04-23,"Gary Winick"
4,tt0988595,2014-02-15,2014-02-15,,"27 Dresses","27 Dresses",https://www.imdb.com/title/tt0988595/,Movie,6.1,111,2008,"Comedy, Romance",176487,2008-01-18,"Anne Fletcher"
5,tt0243736,2014-02-15,2014-02-15,,"40 Days and 40 Nights","40 Days and 40 Nights",https://www.imdb.com/title/tt0243736/,Movie,5.6,96,2002,"Comedy, Romance",76105,2002-03-01,"Michael Lehmann"
6,tt0405422,2014-02-15,2014-02-15,,"The 40-Year-Old Virgin","The 40 Year Old Virgin",https://www.imdb.com/title/tt0405422/,Movie,7.1,116,2005,"Comedy, Romance",471695,2005-08-19,"Judd Apatow"
7,tt0343660,2014-02-15,2014-02-15,,"50 First Dates","50 First Dates",https://www.imdb.com/title/tt0343660/,Movie,6.8,99,2004,"Comedy, Drama, Romance",386081,2004-02-13,"Peter Segal"
8,tt1022603,2014-02-15,2014-02-15,,"500 Days of Summer","(500) Days of Summer",https://www.imdb.com/title/tt1022603/,Movie,7.7,95,2009,"Comedy, Drama, Romance",564860,2009-08-07,"Marc Webb"
9,tt0276751,2014-02-15,2014-02-15,,"About a Boy","About a Boy",https://www.imdb.com/title/tt0276751/,Movie,7.1,101,2002,"Comedy, Drama, Romance",192388,2002-05-17,"Chris Weitz, Paul Weitz"
10,tt1826590,2014-02-15,2014-02-15,,"About Last Night","About Last Night",https://www.imdb.com/title/tt1826590/,Movie,6.0,100,2014,"Comedy, Romance",25267,2014-02-14,"Steve Pink"
11,tt0356470,2014-02-15,2014-02-15,,"A Cinderella Story","A Cinderella Story",https://www.imdb.com/title/tt0356470/,Movie,5.9,95,2004,"Comedy, Family, Romance",94773,2004-07-16,"Mark Rosman"
12,tt1091722,2014-02-15,2014-02-15,,"Adventureland","Adventureland",https://www.imdb.com/title/tt1091722/,Movie,6.8,107,2009,"Comedy, Drama, Romance",170099,2009-04-03,"Greg Mottola"
13,tt0295289,2014-02-15,2014-02-15,,"A Guy Thing","A Guy Thing",https://www.imdb.com/title/tt0295289/,Movie,5.6,101,2003,"Comedy, Romance",18444,2003-01-17,"Chris Koch"
14,tt0343135,2014-02-15,2014-02-15,,"Along Came Polly","Along Came Polly",https://www.imdb.com/title/tt0343135/,Movie,6.0,90,2004,"Comedy, Romance",144515,2004-01-16,"John Hamburg"
15,tt0391304,2014-02-15,2014-02-15,,"A Lot Like Love","A Lot Like Love",https://www.imdb.com/title/tt0391304/,Movie,6.6,107,2005,"Comedy, Drama, Romance",71398,2005-04-22,"Nigel Cole"
16,tt0163651,2014-02-15,2014-02-15,,"American Pie","American Pie",https://www.imdb.com/title/tt0163651/,Movie,7.0,95,1999,"Comedy",437603,1999-07-09,"Paul Weitz, Chris Weitz"
17,tt1920849,2014-02-15,2014-02-15,,"Bachelorette","Bachelorette",https://www.imdb.com/title/tt1920849/,Movie,5.3,87,2012,"Comedy, Romance",49193,2012-10-04,"Leslye Headland"
18,tt1212436,2014-02-15,2014-02-15,,"The Back-up Plan","The Back-up Plan",https://www.imdb.com/title/tt1212436/,Movie,5.3,104,2010,"Comedy, Romance",52601,2010-04-23,"Alan Poul"
19,tt0490084,2014-02-15,2014-02-15,,"Because I Said So","Because I Said So",https://www.imdb.com/title/tt0490084/,Movie,5.6,102,2007,"Comedy, Romance",40342,2007-02-02,"Michael Lehmann"
20,tt0286499,2014-02-15,2014-02-15,,"Bend It Like Beckham","Bend It Like Beckham",https://www.imdb.com/title/tt0286499/,Movie,6.7,112,2002,"Comedy, Drama, Romance, Sport",117264,2003-08-01,"Gurinder Chadha"
21,tt0452594,2014-02-15,2014-02-15,,"The Break-Up","The Break-Up",https://www.imdb.com/title/tt0452594/,Movie,5.8,106,2006,"Comedy, Drama, Romance",139640,2006-06-02,"Peyton Reed"
22,tt1478338,2014-02-15,2014-02-15,,"Bridesmaids","Bridesmaids",https://www.imdb.com/title/tt1478338/,Movie,6.8,125,2011,"Comedy",311344,2011-05-13,"Paul Feig"
23,tt0901476,2014-02-15,2014-02-15,,"Bride Wars","Bride Wars",https://www.imdb.com/title/tt0901476/,Movie,5.5,89,2009,"Comedy, Romance",116586,2009-01-09,"Gary Winick"
24,tt0243155,2014-02-15,2014-02-15,,"Bridget Jones's Diary","Bridget Jones's Diary",https://www.imdb.com/title/tt0243155/,Movie,6.8,97,2001,"Comedy, Drama, Romance",266064,2001-04-13,"Sharon Maguire"
25,tt1038919,2014-02-15,2014-02-15,,"The Bounty Hunter","The Bounty Hunter",https://www.imdb.com/title/tt1038919/,Movie,5.5,110,2010,"Action, Comedy, Romance",135028,2010-03-19,"Andy Tennant"
26,tt0204175,2014-02-15,2014-02-15,,"Boys and Girls","Boys and Girls",https://www.imdb.com/title/tt0204175/,Movie,5.4,94,2000,"Comedy, Drama, Romance",17672,2000-06-16,"Robert Iscove"
27,tt0127723,2014-02-15,2014-02-15,,"Can't Hardly Wait","Can't Hardly Wait",https://www.imdb.com/title/tt0127723/,Movie,6.5,100,1998,"Comedy, Romance",54449,1998-06-12,"Harry Elfont, Deborah Kaplan"
28,tt0360139,2014-02-15,2014-02-15,,"Chasing Liberty","Chasing Liberty",https://www.imdb.com/title/tt0360139/,Movie,6.1,111,2004,"Comedy, Romance",41255,2004-01-09,"Andy Cadiff"
