Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1596350,2017-06-12,2017-06-12,,"This Means War","This Means War",https://www.imdb.com/title/tt1596350/,Movie,6.3,103,2012,"Action, Comedy, Romance",194925,2012-02-17,"McG"
2,tt0343660,2017-06-12,2017-06-12,,"50 First Dates","50 First Dates",https://www.imdb.com/title/tt0343660/,Movie,6.8,99,2004,"Comedy, Drama, Romance",386081,2004-02-13,"Peter Segal"
3,tt0482527,2017-06-12,2017-06-12,,"It's a Boy Girl Thing","It's a Boy Girl Thing",https://www.imdb.com/title/tt0482527/,Movie,6.2,95,2006,"Comedy, Fantasy, Romance",43009,2006-12-26,"Nick Hurran"
4,tt0454945,2017-06-12,2017-06-12,,"She's the Man","She's the Man",https://www.imdb.com/title/tt0454945/,Movie,6.4,105,2006,"Comedy, Romance, Sport",177666,2006-03-17,"Andy Fickman"
5,tt0207201,2017-06-12,2017-06-12,,"What Women Want","What Women Want",https://www.imdb.com/title/tt0207201/,Movie,6.4,127,2000,"Comedy, Fantasy, Romance",224050,2000-12-15,"Nancy Meyers"
6,tt1570728,2017-06-12,2017-06-12,,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",https://www.imdb.com/title/tt1570728/,Movie,7.4,118,2011,"Comedy, Drama, Romance",570800,2011-07-29,"Glenn Ficarra, John Requa"
7,tt0098635,2017-06-12,2017-06-12,,"When Harry Met Sally...","When Harry Met Sally...",https://www.imdb.com/title/tt0098635/,Movie,7.7,95,1989,"Comedy, Drama, Romance",245081,1989-07-21,"Rob Reiner"
8,tt0128853,2017-06-12,2017-06-12,,"You've Got Mail","You've Got Mail",https://www.imdb.com/title/tt0128853/,Movie,6.7,119,1998,"Comedy, Drama, Romance",231384,1998-12-18,"Nora Ephron"
9,tt0088161,2017-06-12,2017-06-12,,"Splash","Splash",https://www.imdb.com/title/tt0088161/,Movie,6.3,111,1983,"Comedy, Fantasy, Romance",84104,1984-03-09,"Ron Howard"
10,tt0109830,2017-06-12,2017-06-12,,"Forrest Gump","Forrest Gump",https://www.imdb.com/title/tt0109830/,Movie,8.8,142,1994,"Drama, Romance",2283577,1994-07-06,"Robert Zemeckis"
11,tt0108160,2017-06-12,2017-06-12,,"Sleepless in Seattle","Sleepless in Seattle",https://www.imdb.com/title/tt0108160/,Movie,6.8,105,1993,"Comedy, Drama, Romance",192427,1993-06-25,"Nora Ephron"
12,tt2194499,2017-06-12,2017-06-12,,"About Time","About Time",https://www.imdb.com/title/tt2194499/,Movie,7.8,123,2013,"Comedy, Drama, Fantasy, Romance, Sci-Fi",392272,2013-11-08,"Richard Curtis"
13,tt0102492,2017-06-12,2017-06-12,,"My Girl","My Girl",https://www.imdb.com/title/tt0102492/,Movie,6.9,102,1991,"Comedy, Drama, Family, Romance",89851,1991-11-27,"Howard Zieff"
14,tt0412922,2017-06-12,2017-06-12,,"Little Manhattan","Little Manhattan",https://www.imdb.com/title/tt0412922/,Movie,7.4,90,2005,"Comedy, Family, Romance",24888,2006-01-05,"Mark Levin"
15,tt1748122,2017-06-12,2017-06-12,,"Moonrise Kingdom","Moonrise Kingdom",https://www.imdb.com/title/tt1748122/,Movie,7.8,94,2012,"Adventure, Comedy, Drama, Family, Fantasy, Romance",368239,2012-06-29,"Wes Anderson"
16,tt0119822,2017-06-12,2017-06-12,,"As Good as It Gets","As Good as It Gets",https://www.imdb.com/title/tt0119822/,Movie,7.7,139,1997,"Comedy, Drama, Romance",321014,1997-12-25,"James L. Brooks"
17,tt1001508,2017-06-12,2017-06-12,,"He's Just Not That Into You","He's Just Not That Into You",https://www.imdb.com/title/tt1001508/,Movie,6.4,129,2009,"Comedy, Drama, Romance",183495,2009-02-06,"Ken Kwapis"
18,tt0800039,2017-06-12,2017-06-12,,"Forgetting Sarah Marshall","Forgetting Sarah Marshall",https://www.imdb.com/title/tt0800039/,Movie,7.1,111,2008,"Comedy, Drama, Romance",304320,2008-04-18,"Nicholas Stoller"
19,tt0817230,2017-06-12,2017-06-12,,"Valentine's Day","Valentine's Day",https://www.imdb.com/title/tt0817230/,Movie,5.7,125,2010,"Comedy, Romance",125854,2010-02-12,"Garry Marshall"
20,tt0832266,2017-06-12,2017-06-12,,"Definitely, Maybe","Definitely, Maybe",https://www.imdb.com/title/tt0832266/,Movie,7.1,112,2008,"Comedy, Drama, Romance",174128,2008-02-14,"Adam Brooks"
21,tt0092099,2017-06-12,2017-06-12,,"Top Gun","Top Gun",https://www.imdb.com/title/tt0092099/,Movie,6.9,109,1986,"Action, Drama",508880,1986-05-16,"Tony Scott"
22,tt0100405,2017-06-12,2017-06-12,,"Pretty Woman","Pretty Woman",https://www.imdb.com/title/tt0100405/,Movie,7.1,119,1990,"Comedy, Romance",368753,1990-03-23,"Garry Marshall"
23,tt0147800,2017-06-12,2017-06-12,,"10 Things I Hate About You","10 Things I Hate About You",https://www.imdb.com/title/tt0147800/,Movie,7.3,97,1999,"Comedy, Drama, Romance",392453,1999-03-31,"Gil Junger"
24,tt0817177,2017-06-12,2017-06-12,,"Flipped","Flipped",https://www.imdb.com/title/tt0817177/,Movie,7.7,90,2010,"Comedy, Drama, Romance",98379,2010-09-10,"Rob Reiner"
25,tt0314331,2017-06-12,2017-06-12,,"Love Actually","Love Actually",https://www.imdb.com/title/tt0314331/,Movie,7.6,135,2003,"Comedy, Drama, Romance",534331,2003-11-14,"Richard Curtis"
26,tt0431308,2017-06-12,2017-06-12,,"P.S. I Love You","P.S. I Love You",https://www.imdb.com/title/tt0431308/,Movie,7.0,126,2007,"Comedy, Drama, Romance",219190,2007-12-21,"Richard LaGravenese"
27,tt0252076,2017-06-12,2017-06-12,,"Maid in Manhattan","Maid in Manhattan",https://www.imdb.com/title/tt0252076/,Movie,5.4,105,2002,"Comedy, Drama, Romance",96900,2002-12-13,"Wayne Wang"
28,tt1185416,2017-06-12,2017-06-12,,"When in Rome","When in Rome",https://www.imdb.com/title/tt1185416/,Movie,5.5,91,2010,"Comedy, Romance",64881,2010-01-29,"Mark Steven Johnson"
29,tt1216492,2017-06-12,2017-06-12,,"Leap Year","Leap Year",https://www.imdb.com/title/tt1216492/,Movie,6.4,100,2010,"Comedy, Romance",111291,2010-01-08,"Anand Tucker"
30,tt0467406,2017-06-12,2017-06-12,,"Juno","Juno",https://www.imdb.com/title/tt0467406/,Movie,7.4,96,2007,"Comedy, Drama",552057,2007-12-25,"Jason Reitman"
31,tt0770703,2017-06-12,2017-06-12,,"What's Your Number?","What's Your Number?",https://www.imdb.com/title/tt0770703/,Movie,6.0,106,2011,"Comedy, Romance",88322,2011-09-30,"Mark Mylod"
