ID,Title,Year,Rank
8f23a370-4e43-42ff-985d-ba90387f6a48,One Fine Day,1996,"70/30"
da565472-d057-4c01-9c0f-39095dd5c7bd,Mannequin,1987,"50/50"
d48bd203-51c2-4989-9423-65530a3b2f25,Splash,1984,"60/40"
4f6d78d9-ffa9-413d-ad5b-c77749cb08da,Pretty in Pink,1986,"75/25"
db2cca72-1b68-4e88-a867-960872a04f7f,Say Anything…,1989,"80/20"
39d52eb7-5317-42dc-a216-dd666ee9131f,Mystic Pizza,1988,"65/35"
7aaf376c-9ab2-4e36-8f33-c5cc17bfa913,A Walk to Remember,2002,"90/10"
a39aa2f0-4ce9-45d5-9f4b-b21b907b9732,Wimbledon,2004,"55/45"
35e3e0c6-dd72-4a58-b553-0db42915346c,Knocked Up,2007,"40/60"
dfd6dfd9-28d8-46dc-9c4c-42768c14fa5a,Notting Hill,1999,"70/30"
59d133ed-428b-4436-852e-c54614bd91cb,Can't Hardly Wait,1998,"45/55"
f952fee1-bcaf-44a5-a37c-b39346f7f252,Jerry Maguire,1996,"60/40"
7a050974-09cf-42ea-b964-041500cc933c,Fallen Angels,1995,"85/15"
a9ac20d2-e04b-4763-b92e-69628ba050f7,Groundhog Day,1993,"30/70"
2990916e-2c00-477e-8acf-213260786e1a,Licorice Pizza,2021,"65/35"
ae2520d0-bcdb-4e90-9f3e-a0cb5b04b79d,The Apartment,1960,"55/45"
c1131585-b6e6-405d-abe5-5cb5b4caface,La La Land,2016,"75/25"
69af8ab1-59f5-4280-9c14-43917f2b508f,Her,2013,"80/20"
d6eb36b4-d03d-463c-8379-67c153c85000,Edward Scissorhands,1990,"70/30"
4a48833c-ace3-402f-a740-eb047713f533,Moonrise Kingdom,2012,"60/40"
6272f11f-f343-4fdf-a916-344a68337e01,Singles,1992,"50/50"
e5d9897e-2447-402f-8951-8dcf70929c4c,About Time,2013,"75/25"
4319bfc2-4297-4d3d-95b4-227dacfdb356,Sideways,2004,"35/65"
b1e04272-41b2-49d4-bf8a-139d20664679,Punch-drunk love,2002,"65/35"
cce3cf51-f9e6-4154-8833-d0d5743ce1b1,High Fidelity,2000,"40/60"
7144bb39-3901-4de4-b93b-12bfdaaf252b,(500) Days of Summer,2009,"70/30"
584f3cf3-083a-433a-a59c-17c3d2160a18,The Big Sick,2017,"55/45"
9c3b2135-f079-445f-8a62-e5f6ea48001e,But I'm A Cheerleader,1999,"40/60"
04dbf3c0-f798-480f-9979-526f81f59b96,A Knight's Tale,2001,"65/35"
4449b2c8-b36a-4fd6-b448-4f0d71d3dc98,Beginners,2011,"80/20"
9dc76235-3311-4394-829c-255802b397f2,Serendipity,2001,"75/25"
