Title,Year
One Fine Day,1996
Mannequin,1987
Splash,1984
Pretty in Pink,1986
Say Anything…,1989
Mystic Pizza,1988
A Walk to Remember,2002
Wimbledon,2004
Knocked Up,2007
Notting Hill,1999
Can't Hardly Wait,1998
Jerry Maguire,1996
Fallen Angels,1995
Groundhog Day,1993
Licorice Pizza,2021
The Apartment,1960
La La Land,2016
Her,2013
Edward Scissorhards,1990
Moonrise Kingdom,2012
Singles,1992
About Time,2013
Sideways,2004
Punch-drunk love,2002
High Fidelity,2000
(500) Days of Summer,2009
The Big Sick,2017
But I'm A Cheerleader,1999
A Knight's Tale,2001
Beginners,2011
Serendipity,2001
Two weeks notice,2002
Miss Congeniality,2000
What's your number?,2011
Dirty Dancing,1987
Holidate,2020
Leap Year,2010
The wedding date,2005
Breakfast at Tiffany's,1961
Murphy's Romance,1985
Four Weddings and a Funeral,1994
As Good as It Gets,1997
Elvis & Anabelle,2007
The Other End of the Line,2007
The 40 Year Old Virgin,2005
There's Something about Mary,1998
She's Out of Your League,2010
The Vow,2012
Meet Joe Black,1998
Runaway Bride,1999
Must Love Dogs,2005
10 Things I Hate About You,1999
13 Going On 30,2004
17 Again,2009
27 Dresses,2008
50 First Dates,2004
A Christmas Prince,2017
A Christmas Prince: The Royal Wedding,2018
A Christmas Prince: The Royal Baby,2019
A Cinderella Story,2004
A Perfect Pairing,2022
About Fate,2022
About Last Night,1986
Alex & Emma,2003
Aloha,2015
Along Came Polly,2004
Always Be My Maybe,2019
Anyone But You,2023
Because I Said So,2007
Before We Go,2014
Book Club,2018
Bridget Jones's Baby,2016
Bridget Jones's Diary,2001
Bridget Jones: The Edge of Reason,2004
Catch and Release,2007
Christmas With the Campbells,2022
Christmas With You,2022
Confessions of a Shopaholic,2009
Crazy Rich Asians,2018
Dating & New York,2021
"Definitely, Maybe",2008
Down With Love,2003
Easy A,2010
Elemental,2023
Enchanted,2007
Exmas,2023
Failure to Launch,2006
Falling for Christmas,2022
Father of the Bride,1991
Father of the Bride,2022
Fever Pitch,2005
Fire Island,2022
Fools Rush In,1997
Friends with Benefits,2011
Ghosted,2023
Ghosts of Girlsfriends Past,2009
Going the Distance,2010
Happiest Season,2020
"Hello, Goodbye, And Everything In Between",2022
He's Just Not That Into You,2009
Hitch,2005
Home Again,2017
How Do You Know,2010
How To Be Single,2016
How to Lose a Guy in 10 Days,2003
I Could Never Be Your Woman,2007
I Love You Man,2009
I Want You Back,2022
Isn't It Romantic,2019
It's Complicated,2009
Just Friends,2005
Just Go With It,2011
Just Like Heaven,2005
Just My Luck,2006
Let It Snow,2019
Life as We Know It,2010
Little Italy,2018
Love Actually,2003
Love Again,2023
Love at First Sight,2023
Love & Basketball,2000
Love & Gelato,2022
Love Hard,2021
Love in the Villa,2022
"Love, Rosie",2014
Made of Honor,2008
Maid in Manhattan,2002
Mamma Mia!,2008
Mamma Mia! Here We Go Again,2018
Man Up,2015
Marry Me,2022
Meet Cute,2022
Music & Lyrics,2007
My Best Friend's Wedding,1997
My Big Fat Greek Wedding,2002
No Strings Attached,2010
One Day,2011
Only You,1994
Palm Springs,2020
Perfect Find,2023
Plus One,2019
Puppy Love,2023
Pretty Woman,1990
Princess Diaries,2001
Princess Diaries 2,2004
"Red, White & Royal Blue",2023
