ID,Title,Year,Rank,Poster
8f23a370-4e43-42ff-985d-ba90387f6a48,One Fine Day,1996,70/30,/Ao6OFtTH93p0yZ4vFNjHz5QgPrB.jpg
da565472-d057-4c01-9c0f-39095dd5c7bd,Mannequin,1987,50/50,/oHMA8euTiZdDFXDi5zaIQQXwl0K.jpg
d48bd203-51c2-4989-9423-65530a3b2f25,Splash,1984,60/40,/7FutTsMWBwVhjk1Ujf1wtndUVZh.jpg
4f6d78d9-ffa9-413d-ad5b-c77749cb08da,Pretty in Pink,1986,75/25,/jeFJyzJBufJexpOuywuPp8q2tCJ.jpg
db2cca72-1b68-4e88-a867-960872a04f7f,Say Anything…,1989,80/20,
39d52eb7-5317-42dc-a216-dd666ee9131f,Mystic Pizza,1988,65/35,/bV3MvnUTgKlbGi7K1QaYNLhdOlM.jpg
7aaf376c-9ab2-4e36-8f33-c5cc17bfa913,A Walk to Remember,2002,90/10,/8lUYMvWdHA0Q0k5F76RQCeCBUkA.jpg
a39aa2f0-4ce9-45d5-9f4b-b21b907b9732,Wimbledon,2004,55/45,/6VwpWP9iTkODN9Mqa7Ce7zmma6d.jpg
35e3e0c6-dd72-4a58-b553-0db42915346c,Knocked Up,2007,40/60,/b4OaXw2MW97VvIiZE0Sbn1NfxSh.jpg
dfd6dfd9-28d8-46dc-9c4c-42768c14fa5a,Notting Hill,1999,70/30,/hHRIf2XHeQMbyRb3HUx19SF5Ujw.jpg
59d133ed-428b-4436-852e-c54614bd91cb,Can't Hardly Wait,1998,45/55,/r3a5gGWfS0SDS9nriNrJzSSrErf.jpg
f952fee1-bcaf-44a5-a37c-b39346f7f252,Jerry Maguire,1996,60/40,/lABvGN7fDk5ifnwZoxij6G96t2w.jpg
7a050974-09cf-42ea-b964-041500cc933c,Fallen Angels,1995,85/15,/yyM9BPdwttK5LKZSLvHae7QPKo1.jpg
a9ac20d2-e04b-4763-b92e-69628ba050f7,Groundhog Day,1993,30/70,/gCgt1WARPZaXnq523ySQEUKinCs.jpg
2990916e-2c00-477e-8acf-213260786e1a,Licorice Pizza,2021,65/35,/7F8v5IzhgZSfyTSXpIxXE8d1u8v.jpg
ae2520d0-bcdb-4e90-9f3e-a0cb5b04b79d,The Apartment,1960,55/45,/2nt8Z54Bce74ycithkzlSNkgXJB.jpg
c1131585-b6e6-405d-abe5-5cb5b4caface,La La Land,2016,75/25,/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg
69af8ab1-59f5-4280-9c14-43917f2b508f,Her,2013,80/20,/lEIaL12hSkqqe83kgADkbUqEnvk.jpg
d6eb36b4-d03d-463c-8379-67c153c85000,Edward Scissorhands,1990,70/30,/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg
4a48833c-ace3-402f-a740-eb047713f533,Moonrise Kingdom,2012,60/40,/xrziXRHRQ7c7YLIehgSJY8GQBsx.jpg
6272f11f-f343-4fdf-a916-344a68337e01,Singles,1992,50/50,/cNM5YW9DgMv5vmLPE1uos1VCI2I.jpg
e5d9897e-2447-402f-8951-8dcf70929c4c,About Time,2013,75/25,/iR1bVfURbN7r1C46WHFbwCkVve.jpg
